Input Size,Algorithm,Time (Âµs)
5,Bubble Sort,6.4373016357421875
5,Selection Sort,4.0531158447265625
5,Insertion Sort,1.6689300537109375
5,Merge Sort,7.8678131103515625
10,Bubble Sort,4.291534423828125
10,Selection Sort,3.5762786865234375
10,Insertion Sort,2.384185791015625
10,Merge Sort,7.152557373046875
50,Bubble Sort,42.20008850097656
50,Selection Sort,35.52436828613281
50,Insertion Sort,3.337860107421875
50,Merge Sort,34.809112548828125
100,Bubble Sort,148.773193359375
100,Selection Sort,126.36184692382812
100,Insertion Sort,5.7220458984375
100,Merge Sort,72.479248046875
